edgeOrder,streamMode,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
source-major,per-source,20,1,none,255M,179.824,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/none/d2d.log,NA
source-major,per-source,20,1,d2h-all,255M,127.473,11.904,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-1/d2h-all/background.log
source-major,per-source,20,2,none,255M,179.850,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/none/d2d.log,NA
source-major,per-source,20,2,d2h-all,255M,127.649,13.155,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-2/d2h-all/background.log
source-major,per-source,20,3,none,255M,179.815,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/none/d2d.log,NA
source-major,per-source,20,3,d2h-all,255M,127.674,14.708,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-20/repetition-3/d2h-all/background.log
source-major,per-source,300,1,none,255M,188.838,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/none/d2d.log,NA
source-major,per-source,300,1,d2h-all,255M,159.797,12.287,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-1/d2h-all/background.log
source-major,per-source,300,2,none,255M,188.877,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/none/d2d.log,NA
source-major,per-source,300,2,d2h-all,255M,159.808,12.796,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-2/d2h-all/background.log
source-major,per-source,300,3,none,255M,188.877,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/none/d2d.log,NA
source-major,per-source,300,3,d2h-all,255M,159.541,12.041,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-source/repeats-300/repetition-3/d2h-all/background.log
source-major,per-edge,20,1,none,255M,581.665,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-20/repetition-1/none/d2d.log,NA
